WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
100,Chokurdakh,RU,70.6333,147.9167,48.54,62,100,14.92,overcast clouds
101,Svetlogorsk,BY,52.6333,29.7333,60.62,97,19,6.2,few clouds
102,Wattegama,LK,6.7989,81.4808,76.59,72,100,14.43,overcast clouds
103,Xiuyan,CN,40.2928,123.2744,84.09,82,94,5.84,overcast clouds
104,Vysokogornyy,RU,50.1167,139.15,64.96,91,100,1.9,overcast clouds
105,Demyansk,RU,57.643,32.466,57.22,94,5,3.69,clear sky
106,Naze,JP,28.3667,129.4833,86.92,76,87,5.84,overcast clouds
107,Dingle,PH,10.9995,122.6711,82.24,80,100,3.15,overcast clouds
108,Gat,IL,31.61,34.7642,81.39,100,7,1.39,clear sky
109,Hithadhoo,MV,-0.6,73.0833,81.81,68,100,14.2,overcast clouds
110,Boca Do Acre,BR,-8.7522,-67.3978,78.19,63,100,0.85,overcast clouds
111,Dicamay,PH,16.7561,122.0037,82.8,75,100,0.94,overcast clouds
112,Komsomolskiy,UZ,40.4272,71.7189,78.21,37,15,3.13,few clouds
113,Papara,BR,-3.9839,-38.7273,77.68,95,20,2.91,few clouds
114,Lompoc,US,34.6391,-120.4579,82.54,86,100,4.0,overcast clouds
115,Ternate,ID,0.8,127.4,83.17,73,14,7.78,few clouds
116,Cordele,US,31.9635,-83.7824,82.92,74,0,0.0,clear sky
117,Bredasdorp,ZA,-34.5322,20.0403,46.08,92,54,6.78,broken clouds
118,Farafangana,MG,-22.8167,47.8333,67.12,83,100,5.17,light rain
119,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,82,40,10.36,scattered clouds
120,Rocky Mountain House,CA,52.3668,-114.9188,63.88,85,91,5.79,overcast clouds
121,San Fernando,PH,15.0286,120.6898,85.73,69,100,3.4,overcast clouds
122,Kimbe,PG,-5.5502,150.1429,91.56,52,98,5.75,overcast clouds
123,Nizwa,OM,22.9333,57.5333,87.19,58,14,0.81,few clouds
124,Jiwani,PK,25.05,61.7417,80.87,82,86,3.96,overcast clouds
125,Aranos,NA,-24.1333,19.1167,48.7,79,0,2.84,clear sky
126,Kapaa,US,22.0752,-159.319,82.18,64,7,5.01,clear sky
127,Yemelyanovo,RU,56.1681,92.6767,56.21,88,40,4.47,scattered clouds
128,Kruisfontein,ZA,-34.0033,24.7314,56.05,90,93,7.29,overcast clouds
129,Cayenne,GF,4.9333,-52.3333,83.08,1,100,1.99,overcast clouds
130,Hurghada,EG,27.2574,33.8129,89.64,29,0,9.22,clear sky
131,Dakoro,NE,14.5106,6.765,75.49,81,54,13.78,light rain
132,Genhe,CN,50.7833,121.5167,84.29,44,57,6.4,broken clouds
133,Alofi,NU,-19.0595,-169.9187,80.49,61,75,20.71,broken clouds
134,Tagusao,PH,9.1924,117.8141,84.74,67,99,0.74,overcast clouds
135,Saint-Pierre,RE,-21.3393,55.4781,64.9,79,0,5.75,clear sky
136,Vardo,NO,70.3705,31.1107,55.38,94,75,9.22,broken clouds
137,Tuatapere,NZ,-46.1333,167.6833,51.13,77,30,9.75,scattered clouds
138,Acapulco,MX,16.8634,-99.8901,80.91,78,58,2.48,broken clouds
139,Hilo,US,19.7297,-155.09,80.26,85,36,1.01,scattered clouds
140,Ribeira Grande,PT,38.5167,-28.7,75.36,89,26,4.72,light rain
141,Kilindoni,TZ,-7.9139,39.6668,74.53,76,9,11.27,clear sky
142,Carnarvon,AU,-24.8667,113.6333,66.13,54,92,14.23,overcast clouds
143,Chegdomyn,RU,51.1167,133.0167,77.61,60,52,2.57,broken clouds
144,Asau,RO,46.4333,26.4,62.96,92,13,4.65,few clouds
145,Nalut,LY,30.3333,10.85,82.8,36,1,14.74,clear sky
146,Brae,GB,60.3964,-1.353,51.51,73,100,10.42,overcast clouds
147,Taltal,CL,-25.4,-70.4833,57.67,66,1,5.7,clear sky
148,Hovd,MN,48.0056,91.6419,69.66,39,100,2.75,overcast clouds
149,Raudeberg,NO,61.9875,5.1352,52.47,64,100,6.44,light rain
150,Hobyo,SO,5.3505,48.5268,75.54,83,99,24.23,overcast clouds
151,Tateyama,JP,34.9833,139.8667,79.11,79,99,8.43,overcast clouds
152,Togur,RU,58.3631,82.8265,59.34,65,62,5.17,broken clouds
153,Cabinda,AO,-5.55,12.2,67.5,89,43,6.2,scattered clouds
154,Atuona,PF,-9.8,-139.0333,77.09,82,30,16.67,light rain
155,Tiruchchendur,IN,8.4833,78.1167,79.09,84,100,28.63,light rain
156,Lorengau,PG,-2.0226,147.2712,83.16,77,100,12.3,overcast clouds
157,Lastoursville,GA,-0.8143,12.7287,76.51,69,96,2.77,overcast clouds
158,Mandalgovi,MN,45.7625,106.2708,68.18,56,0,16.67,clear sky
159,Musoma,TZ,-1.5,33.8,69.24,72,100,7.56,overcast clouds
160,Lalitpur,NP,27.6667,85.3333,71.98,94,75,2.3,broken clouds
161,Behbahan,IR,30.5959,50.2417,96.91,34,0,2.39,clear sky
162,Bambous Virieux,MU,-20.3428,57.7575,68.25,73,40,5.75,scattered clouds
163,Half Moon Bay,US,37.4636,-122.4286,85.05,82,100,19.57,mist
164,Puri,IN,19.8,85.85,82.92,77,100,5.14,overcast clouds
165,Kayerkan,RU,69.3497,87.7602,60.53,47,94,1.74,overcast clouds
166,Slave Lake,CA,55.2834,-114.769,67.98,68,75,9.22,broken clouds
167,Yar-Sale,RU,66.8333,70.8333,64.81,55,3,10.27,clear sky
168,Saldanha,ZA,-33.0117,17.9442,55.67,67,95,8.25,overcast clouds
169,Hokitika,NZ,-42.7167,170.9667,54.75,76,56,8.25,broken clouds
170,Titay,PH,7.8125,122.5344,83.01,73,42,3.65,scattered clouds
171,Tigil,RU,57.8,158.6667,59.23,79,100,13.33,light rain
172,Provideniya,RU,64.3833,-173.3,44.71,100,0,11.18,clear sky
173,Hoi An,VN,15.8794,108.335,89.56,60,73,6.24,broken clouds
174,Juneau,US,58.3019,-134.4197,61.84,95,99,1.1,overcast clouds
175,Klaksvik,FO,62.2266,-6.589,47.32,83,94,13.2,light rain
176,Inirida,CO,3.8653,-67.9239,72.93,97,99,2.82,moderate rain
177,Anadyr,RU,64.75,177.4833,63.1,55,3,13.42,fog
178,Morondava,MG,-20.2833,44.2833,69.39,85,59,6.67,broken clouds
179,Havoysund,NO,70.9963,24.6622,57.43,79,100,11.99,overcast clouds
180,Touros,BR,-5.1989,-35.4608,74.43,89,21,5.17,few clouds
181,Udachnyy,RU,66.4167,112.4,43.45,93,100,20.2,moderate rain
182,Tommot,RU,58.9564,126.2925,79.09,57,19,1.59,light rain
183,Arraial Do Cabo,BR,-22.9661,-42.0278,64.26,88,0,2.3,clear sky
184,Mogadishu,SO,2.0371,45.3438,75.72,82,26,16.75,light rain
185,Islamkot,PK,24.6997,70.177,83.1,72,98,9.26,overcast clouds
186,Bengkulu,ID,-3.8004,102.2655,78.89,83,77,5.41,broken clouds
187,Coxim,BR,-18.5067,-54.76,78.42,25,99,3.09,overcast clouds
188,Cape Town,ZA,-33.9258,18.4232,55.81,82,75,10.36,broken clouds
189,Sinop,TR,41.7711,34.8709,61.9,88,0,3.47,clear sky
190,Tasiilaq,GL,65.6145,-37.6368,38.39,72,100,1.57,overcast clouds
191,Coihaique,CL,-45.5752,-72.0662,38.01,81,20,5.75,few clouds
192,Fasa,IR,28.9383,53.6482,70.84,43,0,4.61,clear sky
193,Sioux Lookout,CA,50.1001,-91.917,62.67,67,75,6.91,broken clouds
194,Mount Gambier,AU,-37.8333,140.7667,57.58,63,0,14.7,clear sky
195,Bubaque,GW,11.2833,-15.8333,78.4,85,100,8.61,moderate rain
196,Hwange,ZW,-18.3693,26.5019,58.57,72,1,3.18,clear sky
197,Victoria,HK,22.2855,114.1577,81.32,90,100,5.99,heavy intensity rain
198,Rothes,GB,57.5262,-3.2066,53.82,93,100,3.49,overcast clouds
199,Killybegs,IE,54.6333,-8.45,53.76,79,61,13.47,broken clouds
200,Urubicha,BO,-15.3833,-62.95,76.28,54,22,2.1,few clouds
201,Barrow,US,71.2906,-156.7887,46.11,82,100,19.53,overcast clouds
202,Katsuura,JP,35.1333,140.3,75.22,80,100,15.39,overcast clouds
203,Guayaramerin,BO,-10.8368,-65.3614,81.05,51,99,1.5,overcast clouds
204,Sartell,US,45.6216,-94.2069,71.38,71,0,5.99,clear sky
205,Cairns,AU,-16.9167,145.7667,84.07,71,100,9.22,overcast clouds
206,Rocha,UY,-34.4833,-54.3333,53.17,96,100,7.74,moderate rain
207,Souillac,MU,-20.5167,57.5167,68.38,73,40,5.75,scattered clouds
208,Ereymentau,KZ,51.6199,73.1033,60.93,58,5,12.41,clear sky
209,Bayir,TR,37.2687,28.2167,64.92,48,0,3.24,clear sky
210,Pokosnoye,RU,55.5258,101.0536,58.42,58,94,3.56,overcast clouds
211,Pangnirtung,CA,66.1451,-65.7125,47.91,76,100,0.69,overcast clouds
212,Husavik,IS,66.0449,-17.3389,42.71,94,100,17.43,overcast clouds
213,Cooma,AU,-36.2333,149.1333,55.29,86,100,12.48,moderate rain
214,Camacha,PT,33.0833,-16.3333,67.42,73,75,12.66,broken clouds
215,Chuy,UY,-33.6971,-53.4616,56.98,99,100,6.35,overcast clouds
216,Beringovskiy,RU,63.05,179.3167,50.61,84,100,5.99,overcast clouds
217,Iqaluit,CA,63.7506,-68.5145,47.93,78,75,16.11,broken clouds
218,Aykhal,RU,66.0,111.5,38.93,97,100,27.02,moderate rain
219,Amahai,ID,-3.3333,128.9167,81.25,76,97,3.56,overcast clouds
220,Baripada,IN,21.935,86.7214,84.06,73,100,4.0,overcast clouds
221,Muyezerskiy,RU,63.9333,31.65,53.83,88,58,8.1,broken clouds
222,Torbay,CA,47.6666,-52.7314,68.88,91,20,17.27,few clouds
223,Kropotkin,RU,45.4375,40.5756,70.9,74,70,6.49,broken clouds
224,Bekeshevskaya,RU,44.1139,42.4269,63.12,86,0,4.5,clear sky
225,Alice Springs,AU,-23.7,133.8833,69.22,32,100,8.05,overcast clouds
226,Miri,MY,4.4148,114.0089,80.74,89,40,0.0,scattered clouds
227,Leningradskiy,RU,69.3833,178.4167,40.46,94,100,4.29,light rain
228,Fomboni,KM,-12.28,43.7425,75.34,66,0,9.95,clear sky
229,Lensk,RU,60.7253,114.9278,66.0,62,100,10.56,overcast clouds
230,Waingapu,ID,-9.6567,120.2641,83.39,53,40,8.99,scattered clouds
231,Sawakin,SD,19.1059,37.3321,90.19,53,65,4.68,broken clouds
232,Chunskiy,RU,56.0815,99.6342,60.01,59,71,4.07,broken clouds
233,Prattville,US,32.464,-86.4597,77.77,85,0,3.44,clear sky
234,Coracao De Maria,BR,-12.2333,-38.75,68.36,81,99,5.1,overcast clouds
235,Muisne,EC,0.6,-80.0333,73.51,88,90,8.23,overcast clouds
236,Yenagoa,NG,4.9247,6.2642,71.53,93,38,3.18,scattered clouds
237,Tadine,NC,-21.55,167.8833,75.96,79,50,10.22,scattered clouds
238,Snezhnogorsk,RU,69.1933,33.2531,55.18,80,92,10.07,overcast clouds
239,Paamiut,GL,61.994,-49.6678,44.56,96,100,32.12,light rain
240,Ust-Tsilma,RU,65.441,52.1498,58.68,93,100,3.27,overcast clouds
241,Hasaki,JP,35.7333,140.8333,79.29,79,100,13.06,moderate rain
242,Sao Filipe,CV,14.8961,-24.4956,76.93,86,91,2.13,overcast clouds
243,Ocampo,MX,21.65,-101.5,63.66,65,100,2.46,overcast clouds
244,Minab,IR,27.1467,57.0801,88.12,79,19,0.0,few clouds
245,Vung Tau,VN,10.346,107.0843,81.07,82,100,9.24,overcast clouds
246,Nantong,CN,32.0303,120.8747,93.99,59,2,1.99,clear sky
247,Ixtapa,MX,20.7,-105.2,84.22,73,97,0.81,overcast clouds
248,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,3.44,broken clouds
249,Olafsvik,IS,64.8945,-23.7142,46.27,75,17,11.01,few clouds
250,Voyvozh,RU,62.892,54.9635,63.23,68,91,5.08,overcast clouds
251,Cognac,FR,45.5,-0.25,79.57,47,0,3.44,clear sky
252,Yanam,IN,16.7333,82.2167,81.5,85,100,2.59,overcast clouds
253,Dali,CN,25.7,100.1833,67.55,86,93,3.24,overcast clouds
254,Severo-Kurilsk,RU,50.6789,156.125,56.37,81,64,6.93,broken clouds
255,Saint-Leu,RE,-21.15,55.2833,65.23,77,8,2.48,clear sky
256,Fortuna,US,40.5982,-124.1573,69.91,73,20,11.5,few clouds
257,Estevan,CA,49.1334,-102.9842,70.0,68,0,6.91,clear sky
258,Lodwar,KE,3.1191,35.5973,79.02,50,91,15.35,overcast clouds
259,Samarai,PG,-10.6167,150.6667,81.43,80,12,13.24,few clouds
260,Mersing,MY,2.4312,103.8405,75.11,100,40,3.44,moderate rain
261,Iranshahr,IR,27.2025,60.6848,89.24,37,2,1.54,clear sky
262,Umm Kaddadah,SD,13.6017,26.6876,79.7,59,70,9.62,broken clouds
263,Fiaes,PT,40.9945,-8.5254,63.0,94,5,2.64,clear sky
264,Aguas Vermelhas,BR,-15.7472,-41.46,58.26,78,0,3.85,clear sky
265,Aripuana,BR,-9.1667,-60.6333,80.87,50,84,1.83,broken clouds
266,Corowa,AU,-36.0333,146.3833,56.57,93,99,8.66,light rain
267,Carutapera,BR,-1.195,-46.02,75.42,91,11,6.29,few clouds
268,Pleshanovo,RU,52.8333,53.4833,62.67,67,0,6.62,clear sky
269,Novoagansk,RU,61.9449,76.6625,64.42,51,91,2.13,overcast clouds
270,Nouadhibou,MR,20.931,-17.0347,73.38,83,75,8.05,broken clouds
271,Minot,US,48.2325,-101.2963,66.79,43,0,5.06,clear sky
272,Lalmohan,BD,22.3384,90.7419,83.97,81,100,15.03,overcast clouds
273,Cartagena,CO,10.3997,-75.5144,80.22,89,40,4.61,scattered clouds
274,Kouango,CF,4.9934,19.9619,69.01,97,29,1.92,scattered clouds
275,Laguna,US,38.421,-121.4238,103.32,33,0,9.22,clear sky
276,Atar,MR,20.5169,-13.0499,86.31,44,12,11.39,few clouds
277,Rudnyy,KZ,52.9594,63.1206,59.23,70,11,8.75,few clouds
278,Salina,US,38.8403,-97.6114,88.02,65,1,1.99,clear sky
279,Doctor Juan Manuel Frutos,PY,-25.3667,-55.8,74.21,43,100,7.99,overcast clouds
280,Celestun,MX,20.8667,-90.4,81.09,79,3,16.75,clear sky
281,Ashibetsu,JP,43.5097,142.1856,74.21,63,84,2.42,broken clouds
282,Kahului,US,20.8947,-156.47,81.97,77,37,14.0,scattered clouds
283,La Ronge,CA,55.1001,-105.2842,64.65,59,100,4.61,overcast clouds
284,Flinders,AU,-34.5833,150.8552,67.37,77,100,1.99,moderate rain
285,Biskamzha,RU,53.4497,89.5272,58.06,71,5,2.33,clear sky
286,Walvis Bay,NA,-22.9575,14.5053,53.1,93,7,5.75,clear sky
287,Pachino,IT,36.7186,15.0907,80.92,56,0,2.59,clear sky
288,Batuan,PH,9.7808,124.1484,77.97,84,99,5.08,light rain
289,Denizli,TR,37.8402,29.0698,74.68,57,0,2.77,clear sky
290,Vao,NC,-22.6667,167.4833,71.71,82,34,13.2,scattered clouds
291,Chicama,PE,-7.8447,-79.1469,59.54,84,62,6.91,broken clouds
292,Kasangulu,CD,-4.5911,15.1708,70.74,66,39,4.32,scattered clouds
293,Pozoblanco,ES,38.3791,-4.8483,71.62,41,0,4.27,clear sky
294,Olinda,BR,-8.0089,-34.8553,73.13,94,75,2.3,broken clouds
295,Tuy Hoa,VN,13.0833,109.3,82.35,74,100,12.39,overcast clouds
296,Narsaq,GL,60.9167,-46.05,47.3,99,100,6.06,heavy intensity rain
297,Mokrous,RU,51.2333,47.5167,66.63,72,6,6.93,clear sky
298,Santa Cruz De La Palma,ES,28.6835,-17.7642,71.74,83,20,18.41,few clouds
299,Mezhdurechensk,RU,53.6942,88.0603,58.75,68,0,1.86,clear sky
300,Kavaratti,IN,10.5669,72.642,77.7,90,100,29.1,overcast clouds
301,Oktyabrskiy,RU,54.4815,53.471,63.28,79,74,3.27,broken clouds
302,Jalu,LY,29.0331,21.5482,79.54,43,0,8.57,clear sky
303,Saskylakh,RU,71.9167,114.0833,54.19,51,26,13.58,scattered clouds
304,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.96,95,100,1.63,overcast clouds
305,Smithers,CA,54.7804,-127.1743,57.52,67,75,6.91,broken clouds
306,Kichera,RU,55.9375,110.0997,69.21,52,7,2.64,clear sky
307,Ostrovnoy,RU,68.0531,39.5131,53.65,83,100,15.88,overcast clouds
308,Staszow,PL,50.5631,21.1659,64.92,87,26,3.65,scattered clouds
309,Elizabeth City,US,36.2946,-76.2511,85.01,89,2,7.47,clear sky
310,Ikare,NG,7.4913,5.2322,69.46,95,100,5.17,overcast clouds
311,Nelson Bay,AU,-32.7167,152.15,71.11,70,97,5.99,overcast clouds
312,Lavrentiya,RU,65.5833,-171.0,49.59,80,61,7.45,broken clouds
313,Kuznechnoye,RU,61.12,29.8686,60.01,89,49,5.91,scattered clouds
314,La Palma,US,33.8464,-118.0467,89.92,69,33,5.99,scattered clouds
315,Rio Gallegos,AR,-51.6226,-69.2181,37.99,90,100,6.78,overcast clouds
316,Satellite Beach,US,28.1761,-80.5901,85.08,79,0,1.99,clear sky
317,Sur,OM,22.5667,59.5289,86.47,67,22,3.96,few clouds
318,Xining,CN,36.6167,101.7667,64.62,89,100,1.21,overcast clouds
319,Verkhoyansk,RU,67.5447,133.385,46.33,90,100,5.84,light rain
320,Kamenka,RU,51.3223,42.7678,65.7,64,100,9.01,overcast clouds
321,Ilulissat,GL,69.2167,-51.1,45.93,65,100,7.23,overcast clouds
322,Cootamundra,AU,-34.65,148.0333,58.33,97,100,21.65,moderate rain
323,Paris,FR,48.8534,2.3488,75.7,66,0,8.05,clear sky
324,Marsaxlokk,MT,35.8419,14.5431,80.08,78,0,2.3,clear sky
325,Bulri,PK,24.8667,68.3333,81.82,82,100,9.84,overcast clouds
326,Cuiaba,BR,-15.5961,-56.0967,80.53,36,0,10.36,clear sky
327,Hofn,IS,64.2539,-15.2082,47.14,75,99,15.43,overcast clouds
328,Esmeraldas,BR,-19.7625,-44.3139,70.66,55,0,4.05,clear sky
329,Arona,ES,28.0996,-16.681,74.7,78,0,17.27,clear sky
330,Iwaki,JP,37.05,140.8833,74.77,88,100,1.99,overcast clouds
331,Gua Musang,MY,4.8823,101.9644,77.67,91,100,1.72,overcast clouds
332,Waverly,US,42.7392,-84.6208,71.76,96,100,10.83,overcast clouds
333,Oussouye,SN,12.485,-16.5469,76.3,91,100,2.19,overcast clouds
334,Erenhot,CN,43.6475,111.9767,82.26,51,100,14.36,overcast clouds
335,Vila Do Maio,CV,15.1333,-23.2167,79.59,84,85,8.86,overcast clouds
336,Tahe,CN,52.3333,124.7333,83.95,44,95,3.91,overcast clouds
337,Bilma,NE,18.6853,12.9164,88.95,41,68,11.9,broken clouds
338,Baykit,RU,61.67,96.37,50.38,87,100,4.23,overcast clouds
339,Pinotepa Nacional,MX,16.3167,-98.0167,77.13,86,93,2.77,overcast clouds
340,Chateau-Thierry,FR,49.05,3.4,68.36,53,2,1.43,clear sky
341,Smirnykh,RU,49.75,142.8333,58.53,98,100,8.01,overcast clouds
342,Mackay,AU,-21.15,149.2,77.68,78,100,3.62,overcast clouds
343,Poopo,BO,-18.3667,-66.9667,41.68,22,0,4.14,clear sky
344,San Alberto,CO,7.7611,-73.3922,75.45,89,99,5.26,overcast clouds
345,Merrill,US,45.1805,-89.6835,73.58,63,0,6.91,clear sky
346,Geraldton,AU,-28.7667,114.6,59.41,77,40,5.75,scattered clouds
347,Rawson,AR,-43.3002,-65.1023,45.97,55,74,9.31,broken clouds
