City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Victoria,HK,81.32,heavy intensity rain,22.2855,114.1577,Mini Central
200,Urubicha,BO,76.28,few clouds,-15.3833,-62.95,
202,Katsuura,JP,75.22,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
203,Guayaramerin,BO,81.05,overcast clouds,-10.8368,-65.3614,Hostal Funf
205,Cairns,AU,84.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
219,Amahai,ID,81.25,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
220,Baripada,IN,84.06,overcast clouds,21.935,86.7214,Aparna Hotel
226,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
228,Fomboni,KM,75.34,clear sky,-12.28,43.7425,Auberge les abou
230,Waingapu,ID,83.39,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
233,Prattville,US,77.77,clear sky,32.464,-86.4597,InTown Suites Extended Stay Prattville AL
237,Tadine,NC,75.96,scattered clouds,-21.55,167.8833,
241,Hasaki,JP,79.29,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
242,Sao Filipe,CV,76.93,overcast clouds,14.8961,-24.4956,Hotel Xaguate
244,Minab,IR,88.12,few clouds,27.1467,57.0801,Bam campground
245,Vung Tau,VN,81.07,overcast clouds,10.346,107.0843,Seaside Resort
247,Ixtapa,MX,84.22,overcast clouds,20.7,-105.2,hotel la terminal
251,Cognac,FR,79.57,clear sky,45.5,-0.25,Domaine de Pladuc
252,Yanam,IN,81.5,overcast clouds,16.7333,82.2167,The Regency Hotel
258,Lodwar,KE,79.02,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
259,Samarai,PG,81.43,few clouds,-10.6167,150.6667,Nuli Sapi
260,Mersing,MY,75.11,moderate rain,2.4312,103.8405,Timotel Hotel
261,Iranshahr,IR,89.24,clear sky,27.2025,60.6848,نیک سرشت
262,Umm Kaddadah,SD,79.7,broken clouds,13.6017,26.6876,
265,Aripuana,BR,80.87,broken clouds,-9.1667,-60.6333,
267,Carutapera,BR,75.42,few clouds,-1.195,-46.02,Lidera
272,Lalmohan,BD,83.97,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
273,Cartagena,CO,80.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
276,Atar,MR,86.31,few clouds,20.5169,-13.0499,Oumou Elghoura
278,Salina,US,88.02,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
280,Celestun,MX,81.09,clear sky,20.8667,-90.4,Posada Lilia
282,Kahului,US,81.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
287,Pachino,IT,80.92,clear sky,36.7186,15.0907,Il Veliero
288,Batuan,PH,77.97,light rain,9.7808,124.1484,Villa Cresenciana
295,Tuy Hoa,VN,82.35,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
300,Kavaratti,IN,77.7,overcast clouds,10.5669,72.642,Green leaf
302,Jalu,LY,79.54,clear sky,29.0331,21.5482,صاحبة الفخامة
309,Elizabeth City,US,85.01,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
314,La Palma,US,89.92,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
316,Satellite Beach,US,85.08,clear sky,28.1761,-80.5901,Radisson Suite Hotel Oceanfront
317,Sur,OM,86.47,few clouds,22.5667,59.5289,Sur Plaza Hotel
323,Paris,FR,75.7,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
324,Marsaxlokk,MT,80.08,clear sky,35.8419,14.5431,Water's Edge
325,Bulri,PK,81.82,overcast clouds,24.8667,68.3333,
326,Cuiaba,BR,80.53,clear sky,-15.5961,-56.0967,Getúllio Hotel
331,Gua Musang,MY,77.67,overcast clouds,4.8823,101.9644,Mines Inn Hotel
333,Oussouye,SN,76.3,overcast clouds,12.485,-16.5469,Auberge du Routard
334,Erenhot,CN,82.26,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
335,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
336,Tahe,CN,83.95,overcast clouds,52.3333,124.7333,塔河宾馆
337,Bilma,NE,88.95,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
339,Pinotepa Nacional,MX,77.13,overcast clouds,16.3167,-98.0167,Hotel Maria Del Carmen
342,Mackay,AU,77.68,overcast clouds,-21.15,149.2,International Lodge Motel
344,San Alberto,CO,75.45,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
